This is MadNLP version v0.8.3, running with cuDSS v0.1.0

Number of nonzeros in constraint Jacobian............:   407296
Number of nonzeros in Lagrangian Hessian.............:   281600

Total number of variables............................:   112750
                     variables with only lower bounds:    56320
                variables with lower and upper bounds:      110
                     variables with only upper bounds:        0
Total number of equality constraints.................:   112640
Total number of inequality constraints...............:    14080
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:    14080

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  87  2.0704839e+01 1.15e-05 2.09e-02  -3.8 4.97e-02  -0.4 1.00e+00 1.00e+00h  1
  88  2.0643955e+01 2.48e-05 1.04e-01  -3.8 1.95e-01  -0.9 1.00e+00 7.53e-01h  1
  89  2.0685389e+01 3.76e-05 1.09e-01  -3.8 2.16e-01    -  6.66e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90  2.0630467e+01 3.15e-05 4.91e-02  -3.8 3.56e-01  -1.3 4.36e-01 3.55e-01h  1
  91  2.0579081e+01 1.34e-05 1.51e-02  -3.8 1.22e-01  -0.9 1.00e+00 1.00e+00h  1
  92  2.0508663e+01 4.83e-05 2.76e-02  -3.8 1.91e+00  -1.4 1.05e-01 9.87e-02h  1
  93  2.0539257e+01 2.91e-05 1.56e-01  -3.8 1.93e-01    -  6.48e-01 1.00e+00h  1
  94  2.0483875e+01 4.19e-05 1.91e-01  -3.8 2.57e+00  -1.9 8.35e-02 6.69e-02h  1
  95  2.0381967e+01 9.98e-05 4.48e-01  -3.8 1.28e+00  -1.4 1.08e-01 2.45e-01h  1
  96  2.0451785e+01 1.96e-05 9.14e-03  -3.8 1.61e-01    -  1.00e+00 1.00e+00h  1
  97  2.0404228e+01 5.72e-05 6.32e-02  -3.8 9.03e-01    -  1.34e-01 1.79e-01h  1
  98  2.0315262e+01 1.03e-04 3.25e-01  -3.8 4.26e-01    -  4.34e-01 1.00e+00h  1
  99  2.0200948e+01 4.12e-05 2.53e-01  -3.8 2.09e-01  -1.0 6.39e-01 8.97e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100  2.0280533e+01 2.55e-05 5.31e-03  -3.8 1.24e-01    -  1.00e+00 1.00e+00h  1
 101  2.0235742e+01 5.31e-05 5.44e-02  -3.8 7.17e-01    -  1.37e-01 1.73e-01h  1
 102  2.0179156e+01 6.28e-05 9.39e-02  -3.8 1.36e+00    -  1.76e-01 2.10e-01h  1
 103  2.0078641e+01 1.01e-04 7.12e-02  -3.8 2.39e+00  -1.5 1.24e-01 1.18e-01h  1
 104  2.0096753e+01 3.13e-05 2.71e-01  -3.8 1.11e-01    -  5.17e-01 1.00e+00h  1
 105  2.0039516e+01 6.30e-06 2.71e-01  -3.8 1.67e-01  -1.1 7.91e-01 3.73e-01h  1
 106  1.9901562e+01 5.14e-06 3.98e-01  -3.8 4.63e-01  -1.5 3.69e-01 1.00e+00H  1
 107  1.9874733e+01 7.43e-06 3.12e-01  -3.8 3.23e-01  -1.1 5.25e-01 2.01e-01h  1
 108  1.9923396e+01 3.70e-05 1.35e-01  -3.8 1.46e-01    -  8.17e-01 1.00e+00h  1
 109  1.9871282e+01 1.81e-05 1.02e-01  -3.8 3.71e-01  -1.6 3.06e-01 3.02e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110  1.9802448e+01 2.54e-05 1.34e-02  -3.8 1.96e-01  -1.2 1.00e+00 1.00e+00h  1
 111  1.9767906e+01 7.29e-06 1.47e-02  -3.8 8.04e-02  -0.7 1.00e+00 1.00e+00h  1
 112  1.9699763e+01 3.51e-05 7.18e-02  -3.8 7.66e-01  -1.2 2.60e-01 2.09e-01h  1
 113  1.9736711e+01 3.56e-05 1.55e-01  -3.8 2.17e-01    -  6.33e-01 1.00e+00h  1
 114  1.9674897e+01 4.78e-05 1.55e-01  -3.8 1.81e+00  -1.7 8.98e-02 1.00e-01h  1
 115  1.9573896e+01 6.85e-05 1.27e-01  -3.8 4.17e-01  -1.3 7.54e-01 6.31e-01h  1
