This is MadNLP version v0.8.3, running with cuDSS v0.1.0

Number of nonzeros in constraint Jacobian............:    23696
Number of nonzeros in Lagrangian Hessian.............:    10560

Total number of variables............................:     7150
                     variables with only lower bounds:     3520
                variables with lower and upper bounds:      110
                     variables with only upper bounds:        0
Total number of equality constraints.................:     7040
Total number of inequality constraints...............:      880
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:      880

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 114  1.6289678e+01 6.25e-05 2.31e+01  -3.8 3.92e+00  -0.8 9.18e-02 3.09e-02h  1
 115  1.6255597e+01 6.09e-05 2.48e+01  -3.8 6.72e-01  -0.4 2.66e-02 1.19e-01h  1
 116  1.6244703e+01 5.69e-05 2.76e+01  -3.8 1.90e-01   0.1 1.75e-01 7.60e-02h  1
 117  1.6207694e+01 3.43e-05 7.46e+01  -3.8 9.34e-02   0.5 1.47e-01 5.67e-01h  1
 118  1.6200323e+01 3.46e-05 7.28e+01  -3.8 9.55e-01   0.0 6.02e-02 1.33e-02h  1
 119  1.6136759e+01 3.64e-05 3.84e+01  -3.8 6.74e-01  -0.5 1.98e-01 4.33e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120  1.6113484e+01 2.92e-05 2.95e+01  -3.8 2.59e-01  -0.0 3.91e-01 2.53e-01h  1
 121  1.6048522e+01 7.25e-05 3.04e+01  -3.8 2.47e+00  -0.5 5.62e-03 8.25e-02h  1
 122  1.6023486e+01 7.45e-05 2.84e+01  -3.8 8.35e-01  -0.1 6.69e-02 4.68e-02h  1
 123  1.6004864e+01 7.22e-05 2.80e+01  -3.8 1.54e+00    -  5.35e-02 3.61e-02h  1
 124  1.5965394e+01 5.88e-05 3.99e+01  -3.8 5.55e-01  -0.6 1.20e-01 2.24e-01h  1
 125  1.5890221e+01 7.12e-05 1.07e+02  -3.8 1.19e+01  -1.0 2.75e-03 2.43e-02h  1
 126  1.5848513e+01 6.83e-05 9.76e+01  -3.8 1.67e+00  -0.6 1.28e-01 8.37e-02h  1
 127  1.5846819e+01 6.52e-05 9.32e+01  -3.8 1.17e-01    -  5.46e-02 4.61e-02h  1
 128  1.5785204e+01 3.09e-05 2.70e+01  -3.8 3.49e-01    -  2.06e-02 6.72e-01h  1
 129  1.5775392e+01 3.11e-05 2.57e+01  -3.8 2.11e+01    -  6.38e-03 1.19e-03h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130  1.5757484e+01 3.16e-05 2.50e+01  -3.8 2.46e+00    -  1.95e-02 2.06e-02h  1
 131  1.5727199e+01 3.31e-05 6.46e+01  -3.8 1.33e+00    -  1.85e-02 6.34e-02h  1
 132  1.5694069e+01 3.80e-05 1.05e+02  -3.8 1.33e+01    -  4.02e-03 8.18e-03h  1
 133  1.5659643e+01 3.34e-05 6.92e+01  -3.8 3.93e-01  -0.2 1.72e-01 3.15e-01h  1
 134  1.5646848e+01 3.35e-05 6.71e+01  -3.8 2.02e+00  -0.7 5.11e-02 2.12e-02h  1
 135  1.5643947e+01 1.66e-05 2.75e+01  -3.8 9.54e-02    -  8.31e-02 1.00e+00h  1
 136  1.5616436e+01 1.04e-05 2.66e+01  -3.8 1.25e+00  -0.2 5.05e-02 3.23e-02h  1
 137  1.5555517e+01 2.68e-05 2.31e+01  -3.8 1.65e+00  -0.7 6.20e-02 1.33e-01h  1
 138  1.5525990e+01 2.93e-05 2.26e+01  -3.8 4.32e+00  -1.2 4.56e-02 2.02e-02h  1
