This is Ipopt version 3.14.14, running with linear solver MUMPS 5.6.2.

Number of nonzeros in equality constraint Jacobian...:     3608
Number of nonzeros in inequality constraint Jacobian.:      140
Number of nonzeros in Lagrangian Hessian.............:     1680

Total number of variables............................:     1155
                     variables with only lower bounds:      560
                variables with lower and upper bounds:       35
                     variables with only upper bounds:        0
Total number of equality constraints.................:     1120
Total number of inequality constraints...............:      140
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:      140

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 152r 6.8302791e+01 4.17e-05 4.60e-02  -2.5 2.63e-02    -  1.00e+00 1.00e+00h  1
 153r 7.2154962e+01 5.81e-05 2.22e+00  -3.8 1.10e-01    -  7.41e-01 7.70e-01f  1
 154r 7.1791019e+01 2.23e-05 1.17e+02  -3.8 1.46e-02   0.5 9.08e-01 6.33e-01f  1
 155r 7.1230000e+01 1.89e-05 3.96e-02  -3.8 3.66e-02  -0.0 1.00e+00 1.00e+00f  1
 156  6.4842511e+01 1.13e-04 1.80e+04  -1.0 9.94e-01    -  2.54e-01 1.04e-01f  1
 157  6.4792397e+01 1.13e-04 1.31e+06  -1.0 6.30e+00    -  8.69e-02 5.15e-03h  1
 158  6.4859258e+01 1.10e-04 6.65e+06  -1.0 8.58e+00    -  7.38e-01 1.97e-02h  1
 159  6.4813476e+01 1.10e-04 3.41e+07  -1.0 1.44e+01    -  4.90e-02 6.34e-03h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160  6.4776359e+01 1.09e-04 2.48e+08  -1.0 1.99e+01    -  3.41e-02 5.12e-03h  1
 161  6.4750995e+01 1.09e-04 1.77e+09  -1.0 2.80e+02    -  2.36e-03 3.76e-04h  1
 162  6.4684172e+01 1.09e-04 1.23e+10  -1.0 1.64e+03    -  4.06e-04 6.72e-05h  1
 163  6.4648792e+01 1.09e-04 6.22e+11  -1.0 1.46e+03    -  5.51e-04 1.31e-05h  1
 164  6.4645966e+01 1.09e-04 6.21e+11  -1.0 2.30e+02    -  8.37e-07 8.37e-07s  2
 165r 6.4645966e+01 1.09e-04 1.00e+03  -1.0 0.00e+00    -  0.00e+00 0.00e+00R  1
 166r 6.2811903e+01 4.17e-04 7.63e+02  -1.0 1.64e-01    -  3.05e-01 1.00e+00f  1
 167r 6.0630471e+01 2.41e-04 2.57e+02  -1.0 6.96e-02    -  6.61e-01 1.00e+00f  1
 168r 6.2067232e+01 3.88e-04 1.57e+02  -1.0 1.67e-01    -  7.07e-01 1.00e+00f  1
 169r 6.2279179e+01 3.52e-04 9.71e+01  -1.0 7.64e-02    -  3.86e-01 3.88e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170r 6.3095849e+01 5.58e-04 2.81e+02  -1.0 1.08e-01    -  4.70e-01 1.00e+00f  1
 171r 6.2698882e+01 6.57e-04 1.39e+02  -1.0 1.15e-01    -  7.51e-01 1.00e+00f  1
 172r 6.2941189e+01 6.91e-04 1.87e+01  -1.0 1.76e-01    -  9.96e-01 1.00e+00f  1
 173r 6.3111659e+01 7.49e-04 3.14e+02  -1.0 1.45e+00    -  2.91e-01 5.01e-01f  1
 174r 6.3012643e+01 7.10e-04 3.59e+01  -1.0 4.34e-01    -  1.00e+00 1.00e+00f  1
 175r 6.3919465e+01 7.15e-04 2.10e+02  -1.0 1.15e-01    -  1.00e+00 6.44e-01h  1
 176r 6.3477086e+01 7.14e-04 5.39e-01  -1.0 3.37e-02    -  1.00e+00 1.00e+00f  1
 177r 6.2721838e+01 3.46e-04 3.71e+01  -2.5 1.76e-01    -  5.85e-01 6.39e-01f  1
 178r 6.2431291e+01 2.77e-04 3.90e+01  -2.5 1.11e-01    -  3.80e-01 3.26e-01f  1
 179r 6.2162113e+01 3.83e-04 2.91e+01  -2.5 1.88e-02   2.0 7.62e-01 9.35e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 180r 6.1621651e+01 3.02e-04 1.56e+00  -2.5 4.64e-02   1.5 1.00e+00 9.99e-01f  1
 181r 6.1020167e+01 2.13e-04 1.01e+02  -2.5 9.65e-02   1.0 1.00e+00 4.86e-01f  1
 182r 5.9993690e+01 3.28e-04 1.89e+00  -2.5 1.46e-01   0.6 1.00e+00 1.00e+00f  1
 183r 5.9013576e+01 8.45e-05 1.32e+01  -2.5 6.25e-02   1.0 1.00e+00 1.00e+00f  1
 184  5.1014976e+01 7.47e-05 9.60e+02  -1.0 8.11e-01    -  3.10e-01 1.41e-01f  1
 185  4.7418362e+01 8.88e-05 8.13e+03  -1.0 1.12e+00    -  8.09e-01 1.36e-01f  2
 186  4.5006672e+01 6.13e-05 2.08e+04  -1.0 2.35e-01    -  1.00e+00 4.01e-01H  1
 187  4.5259516e+01 5.62e-05 2.04e+05  -1.0 8.12e-01    -  3.55e-01 7.72e-02h  1
 188  4.5963049e+01 4.84e-05 5.07e+05  -1.0 2.80e+00    -  5.12e-01 1.39e-01h  1
 189  4.9552068e+01 5.43e-05 8.22e+04  -1.0 1.65e+00    -  8.85e-02 2.93e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 190  5.0516095e+01 5.17e-05 1.48e+06  -1.0 2.57e+00    -  7.04e-01 6.65e-02h  1
 191  5.0577835e+01 5.13e-05 8.65e+06  -1.0 9.00e+00    -  6.73e-02 8.09e-03h  1
 192  5.0670432e+01 5.06e-05 2.27e+07  -1.0 1.70e+01    -  3.32e-02 1.35e-02h  1
 193  5.0680663e+01 5.05e-05 9.70e+07  -1.0 1.21e+02    -  4.74e-03 1.48e-03h  1
 194  5.0680677e+01 5.05e-05 3.60e+08  -1.0 5.03e+02    -  1.09e-03 3.81e-04h  1
 195  5.0671888e+01 5.05e-05 7.11e+09  -1.0 1.24e+03    -  6.46e-04 4.80e-05h  1
 196  5.0643334e+01 5.05e-05 7.09e+09  -1.0 2.53e+02    -  4.18e-06 4.18e-06s  5
