This is MadNLP version v0.8.3, running with cuDSS v0.1.0

Number of nonzeros in constraint Jacobian............:    12728
Number of nonzeros in Lagrangian Hessian.............:     8800

Total number of variables............................:     3630
                     variables with only lower bounds:     1760
                variables with lower and upper bounds:      110
                     variables with only upper bounds:        0
Total number of equality constraints.................:     3520
Total number of inequality constraints...............:      440
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:      440

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 149  1.4324773e+01 6.11e-05 2.92e+02  -3.8 1.13e+00   0.0 1.76e-03 2.21e-03h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150  1.4307129e+01 1.88e-05 5.67e+00  -3.8 9.18e-02   0.5 7.94e-01 1.00e+00h  1
 151  1.4235595e+01 1.09e-04 1.14e+01  -3.8 9.87e-01  -0.0 6.93e-02 1.79e-01h  1
 152  1.4209323e+01 9.75e-05 4.63e+01  -3.8 2.28e-01   0.4 5.79e-01 1.43e-01h  1
 153  1.4191182e+01 9.68e-05 3.07e+01  -3.8 7.17e-01  -0.1 2.74e-02 3.38e-02h  1
 154  1.4163921e+01 8.02e-05 6.25e+01  -3.8 1.56e-01   0.3 2.40e-01 1.99e-01h  1
 155  1.4157562e+01 8.05e-05 6.13e+01  -3.8 3.56e+00  -0.1 9.27e-04 2.38e-03h  1
 156  1.4046022e+01 9.37e-05 5.85e+01  -3.8 1.76e+00  -0.6 1.62e-02 2.47e-01h  1
 157  1.4043345e+01 9.15e-05 5.99e+01  -3.8 5.21e-02   0.7 9.55e-01 2.35e-02h  1
 158  1.4021082e+01 6.11e-05 5.23e+01  -3.8 5.73e-01    -  6.99e-02 3.36e-01h  1
 159  1.3976987e+01 1.56e-05 1.27e+01  -3.8 1.30e-01   0.2 1.00e+00 7.69e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160  1.3948700e+01 1.42e-05 1.80e+01  -3.8 5.62e-01  -0.2 2.57e-02 1.69e-01h  1
 161  1.3941489e+01 1.25e-05 1.65e+02  -3.8 1.47e-01   0.2 5.60e-01 1.21e-01h  1
 162  1.3914933e+01 2.35e-05 4.09e+01  -3.8 6.08e-01  -0.3 6.38e-02 1.37e-01h  1
 163  1.3823351e+01 3.29e-04 2.98e+01  -3.8 5.57e-01   0.1 2.74e-01 5.08e-01h  1
 164  1.3776826e+01 2.55e-04 2.45e+01  -3.8 1.68e-01   0.6 3.78e-01 2.43e-01h  1
 165  1.3756735e+01 2.36e-04 2.25e+01  -3.8 5.56e-01   0.1 2.85e-02 8.02e-02h  1
 166  1.3738348e+01 1.84e-04 1.54e+02  -3.8 8.42e-02   0.5 8.38e-01 2.21e-01h  1
 167  1.3711231e+01 1.50e-04 1.10e+02  -3.8 2.61e-01   0.0 1.66e-01 1.89e-01h  1
 168  1.3633887e+01 5.11e-05 4.70e-01  -3.8 1.31e-01   0.5 1.00e+00 1.00e+00h  1
 169  1.3573972e+01 9.31e-05 5.75e+00  -3.8 1.75e+00  -0.0 5.25e-02 5.61e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170  1.3572386e+01 9.04e-05 2.74e+01  -3.8 1.19e-01   0.4 6.86e-01 2.89e-02h  1
 171  1.3469145e+01 5.01e-05 2.89e+01  -3.8 3.05e-01  -0.1 1.81e-01 1.00e+00h  1
 172  1.3451491e+01 4.58e-05 7.87e+01  -3.8 2.05e-01   0.4 6.92e-01 1.40e-01h  1
 173  1.3428739e+01 4.76e-05 3.82e+01  -3.8 6.06e-01  -0.1 1.50e-02 6.15e-02h  1
 174  1.3407160e+01 3.86e-05 2.93e+01  -3.8 1.24e-01   0.3 2.27e-01 2.41e-01h  1
 175  1.3401410e+01 3.38e-05 9.61e+01  -3.8 6.88e-02   0.7 1.00e+00 1.31e-01h  1
 176  1.3376469e+01 5.65e-06 1.19e+02  -3.8 9.35e-02   0.3 3.88e-01 8.41e-01h  1
 177  1.3346681e+01 8.86e-06 8.68e+01  -3.8 4.58e-01  -0.2 1.35e-01 2.51e-01h  1
 178  1.3282027e+01 1.64e-04 2.21e+01  -3.8 2.88e-01   0.2 3.72e-01 7.70e-01h  1
 179  1.3246515e+01 1.12e-04 1.90e+01  -3.8 1.12e-01   0.6 7.20e-01 3.50e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 180  1.3224652e+01 1.08e-04 4.33e+01  -3.8 4.91e-01   0.2 1.03e-01 6.00e-02h  1
 181  1.3203236e+01 1.09e-04 2.44e+01  -3.8 9.89e-01  -0.3 1.33e-02 2.80e-02h  1
 182  1.3174073e+01 1.00e-04 1.16e+01  -3.8 3.06e-01   0.1 1.31e-01 1.21e-01h  1
 183  1.3150306e+01 5.96e-06 2.36e-01  -3.8 6.88e-02   0.5 1.00e+00 1.00e+00h  1
 184  1.3106578e+01 3.77e-05 1.15e+02  -3.8 3.00e-01   0.1 1.47e-01 4.05e-01h  1
 185  1.3045924e+01 4.61e-05 3.94e+01  -3.8 1.36e-01   0.5 5.10e-01 8.19e-01h  1
 186  1.2988861e+01 8.04e-05 3.86e+01  -3.8 6.14e+00   0.0 1.92e-02 1.39e-02h  1
 187  1.2985295e+01 7.56e-05 5.53e+01  -3.8 1.25e-01   0.4 8.19e-01 6.06e-02h  1
